stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,Emu,Estd
2325,2353,model3,-0.4912828858779801,0.50871711412202,0.01455307631699992,0.4640321451750297,0.1178666666666668,-0.6793709942618122,0.0013066270082533848,-0.3528044939600989,-0.6793236837886852,0.0013098675650545972
2325,2888,model3,-0.7767790963217166,0.22322090367828346,0.3190348459764747,0.3771592706702269,0.12616000000000008,-2.657479435475373,0.0011445619168578846,-0.03309750401936305,-2.6573730464770096,0.0010966368121954246
2325,2915,model3,-0.8202218824123892,0.17977811758761078,0.14996712631427245,0.27141880476813657,0.09974666666666683,-2.512582019246129,0.0013719229585203649,-0.08872835559785774,-2.5122514938731455,0.0013188136212448503
2325,3037,model3,-0.99214394946847,-0.007856050531529985,0.010895591484746696,0.14080723313899995,0.020586666666666642,-3.9396494682922514,0.0020157502326554554,0.296164142083196,-3.939210145360323,0.0019172097218476335
2325,6285,model3,-0.8735440714480853,0.12645592855191468,0.1100246666862259,0.26470282312729043,0.06676000000000001,-2.8824395834171135,0.001421754830430094,0.11616738203754592,-2.882266503118601,0.0014093427657800662
2357,2409,model3,-0.5677268194942635,0.4322731805057364,0.07525635705267171,0.27859749607832884,0.08991999999999989,-2.2581693641881007,0.001102608634103544,-0.5820667341759225,-2.258179500526327,0.0011014653287027734
2357,2801,model3,-0.5044242079482175,0.4955757920517824,0.2166919062808476,0.5435030036351406,0.12119999999999995,-1.45162412833931,0.0012742864865429252,0.04966913658913827,-1.451637498570645,0.001278736713755482
2357,2880,model3,-0.33225451157454755,0.6677454884254524,0.21980549946059386,0.8410317932251241,0.14991999999999994,-0.03979811280313155,0.0009363215985606363,-0.3656409127418501,-0.039790139491350865,0.0009359021925456594
2357,2881,model3,-0.4870013400219897,0.5129986599780103,0.16441578642247187,0.3733989567753897,0.1305866666666667,-0.8573431299254779,0.0008897724428753713,-0.0045607100899818535,-0.8572730967569915,0.0009188019769613008
2357,2883,model3,-0.35807569962394264,0.6419243003760574,0.18192082265832268,0.746424609043989,0.14128000000000024,-0.6817007871794334,0.0007830410253907388,-0.18416789101473388,-0.6816490420140259,0.0008041653550820161
2357,2884,model3,-0.5255029211980776,0.4744970788019224,0.3910691721322473,0.4337047285821984,0.09458666666666668,-1.5904945013432292,0.0011073816585872043,-0.225769498505532,-1.5903887214876549,0.001041992357603757
2357,2887,model3,-0.34303061614402003,0.6569693838559799,0.2106535855376534,0.4468051450569416,0.13237333333333345,-0.35694846212941345,0.0017635910400400254,0.03451438352124715,-0.3569189812226748,0.001760306700118235
2357,2891,model3,-0.37465225681770575,0.6253477431822941,0.2368710455224552,0.4444861578420526,0.09912000000000012,-0.3783452585459796,0.0013894720661772983,-0.5198775193232874,-0.378267511787229,0.0013735907538272205
2357,2892,model3,-0.3658940769562408,0.6341059230437593,0.2177266755953805,0.9356006654658416,0.15949333333333338,-0.3159932955876025,0.0010346106171314252,0.10043604459477076,-0.31597492657288845,0.0010309088129317474
2357,5880,model3,-0.30280105577015964,0.6971989442298404,0.1892588988050065,0.6978610054017186,0.21223999999999976,0.14091443004151055,0.001336699612631329,0.04942093963553714,0.1409371495812552,0.00134139208231518
2357,6505,model3,-0.4936972636066982,0.5063027363933018,0.3177161744325457,1.658295770972021,0.19245333333333325,-0.5327667289381699,0.0007232966083237093,0.3551834373871717,-0.5327469874563228,0.0007254204150723655
2357,2204,model3,-0.37924904854856656,0.6207509514514334,0.2814279325918041,0.9496738150037342,0.2026800000000001,-0.2212590817333102,0.0009233451600478931,-0.24265913359124755,-0.22126758603508817,0.0009328320372824397
2357,2888,model3,-0.4933917932111079,0.5066082067888922,0.4384567895741145,0.6142236242427633,0.13484000000000002,-1.8352105498735012,0.0008890760510867978,0.2591403847878729,-1.8351788305486747,0.0008701242877302117
2357,2903,model3,-0.12314234652371385,0.8768576534762862,0.19775766649912455,0.3123722667386417,0.052653333333333364,1.7912962663872805,0.0019930553246809827,-0.4647356871942981,1.7914235732563326,0.001963644063689218
2357,8150,model3,-0.4683454124908931,0.5316545875091071,0.2292948741727377,1.0385257688135874,0.10605333333333343,-0.7618240074285952,0.0007116371936599258,-0.7422061004891526,-0.7618241880374079,0.000713971938425527
2308,2317,model3,-0.6907188861985347,0.3092811138014652,0.1222821846239434,0.5723084270460392,0.19453333333333303,-2.0680034492374832,0.0013612562193471218,0.5854361582106662,-2.0678991796844794,0.0013417979912142973
2308,2325,model3,-0.4462468032961388,0.5537531967038613,0.016762305652287646,0.4563258998874649,0.12981333333333328,-0.017439558579806575,0.0012433995726044641,0.04484940181122423,-0.017468913119851697,0.00125028085260856
2308,2357,model3,-0.6757820232716223,0.32421797672837777,0.18381158213650306,1.158349297206969,0.2451600000000002,-1.5206322788670223,0.0011316990066150708,0.2965105899356831,-1.520641168488733,0.0011346757653095082
